기준년월,HSK품목코드,수출입구분코드,수산물수출입품목명,수출입구분명,당월수출입중량(킬로그램),당월수출입미화금액(달러),당해누계수출입중량(킬로그램),당해누계수출입미화금액(달러)
Jul-23,106199000,E,기타 포유동물,수출,182,23188,1686,117524
Jul-23,106201000,E,뱀,수출,4,3446,60,13987
Jul-23,106203000,E,거북,수출,2,170,31,50650
Jul-23,106209000,E,기타 파충류,수출,130,67924,935,1024019
Jul-23,301119000,E,기타(활어)(비단잉어 외  민물의 것),수출,0,0,155,2761
Jul-23,301190000,E,기타(활어)(민물의 것),수출,0,0,1980,98891
Jul-23,301921000,E,실뱀장어(한마리당 0.3그램 이하인 것으로서 양식용으로 한정),수출,0,0,300,8610
Jul-23,301929090,E,뱀장어(앵궐라종),수출,0,0,30,816
Jul-23,301992000,E,방어(활어),수출,0,0,127,4433
Jul-23,301994091,E,돔(기타/ 참돔),수출,360,3971,2365,27182
Jul-23,301994099,E,돔(기타/ 기타),수출,12,234,48,936
Jul-23,301995000,E,붕장어(활어),수출,128379,1433034,872868,9379541
Jul-23,301996000,E,갯장어(sharp toothed eel/활어),수출,3729,117670,8472,250456
Jul-23,301998000,E,넙치(활어),수출,177306,3206845,1264381,23326761
Jul-23,301999020,E,복어(활어),수출,0,0,2508,40033
Jul-23,301999040,E,볼락(적어포함/활어),수출,1345,33223,9987,263329
Jul-23,301999060,E,숭어(활어),수출,20,173,262,3354
Jul-23,301999070,E,미꾸라지(활어),수출,403,8654,3882,85928
Jul-23,301999099,E,기타어류(활어),수출,2264,82540,55085,1261034
Jul-23,302130000,E,태평양연어(옹코링쿠스-넬카/고르부스카/케타/차비차/키수츠/마소/로드루스),수출,60,2382,60,2382
Jul-23,302140000,E,대서양 연어(신선 또는 냉장)(살모 살라) 및 다뉴브 연어(후코 후코),수출,745,19458,6347,177937
Jul-23,302210000,E,넙치(간장/ 어란제외/신선/ 냉장/피레트/ 어육제외),수출,9398,206424,70262,1520581
Jul-23,302220000,E,가자미(간장/ 어란제외/신선/ 냉장/피레트/어육제외),수출,0,0,618,9547
Jul-23,302240000,E,터벗(신선 또는 냉장)(프세타 맥시마),수출,5570,197835,22712,801636
Jul-23,302290000,E,기타 넙치류(간장/ 어란제외/신선/ 냉장/피레트/ 어육제외),수출,20744,107210,1076552,2520575
Jul-23,302340000,E,눈다랑어(터너스오베서스/신선/냉장),수출,0,0,30,267
Jul-23,302352000,E,태평양 참다랑어(신선 또는 냉장)(터너스 오리엔탈리스),수출,108,3519,801,25836
Jul-23,302390000,E,기타(신선/냉장),수출,0,0,233534,1402283
Jul-23,302410000,E,청어(신선 또는 냉장)(클루페아 하렌구스/클루페아 팔라시),수출,0,0,3485,4082
Jul-23,302420000,E,멸치(신선 또는 냉장)(엔그라울리스종),수출,0,0,157,2427
Jul-23,302430000,E,정어리(신선 또는 냉장)(사르디나 필차르두스/사르디노프스종),수출,0,0,1336,2700
Jul-23,302440000,E,고등어(신선 또는 냉장)(스콤버-스콤브루스/오스트랄시쿠스/자포니쿠스)),수출,0,0,15955,103528
Jul-23,302450000,E,전갱이(신선 또는 냉장)(트라커러스종),수출,27791,67541,174938,372657
Jul-23,302491000,E,삼치[스콤버로모러스(Scomberomorus)종],수출,31984,192412,353077,2142477
Jul-23,302492000,E,병어[팜푸스(Pampus)종],수출,5435,61135,5699,65727
Jul-23,302493000,E,꽁치[콜로라비스 사이라(Cololabis saira)],수출,0,0,18,707
Jul-23,302499000,E,기타,수출,0,0,2891,78167
